date,S,Q_s,S_max,k_q,k_s,c_loss
2023-01-01,7.792246602274926,4.821000326093956,175.03471346075133,0.696872753814789,0.1688917395310288,0.05647282422082275
2023-01-02,8.605603238226655,4.219767046198776,174.11255796971037,0.7101737097773128,0.1780816415566357,0.056016181727942926
2023-01-03,14.73772467987824,4.391238299246009,156.54773720224063,0.7432159830402566,0.18026821407197743,0.055094098843767626
2023-01-04,21.105917244998253,7.243681109791044,94.6746986332039,0.8298240914326004,0.1709383523482086,0.051404567234364346
2023-01-05,18.133778757198737,8.627128872159183,-16.97458867120227,0.8299032893568294,0.23858902049740266,0.04183885518511845
2023-01-06,15.205330182836594,5.38906758521155,-5.319694131257763,0.9700569999830577,0.3337269254903032,0.038446588596600335
2023-01-07,10.268360590435332,5.654597550860831,2.4875884746442196,0.8960057732725839,0.2805274447275552,0.04373055641649419
2023-01-08,7.428241520286011,4.591824352251833,3.560075430377919,0.890348922671416,0.2719534657053347,0.04463675213559044
2023-01-09,5.285380814214457,3.8837640846631456,1.7880149713289186,0.9042975286378458,0.27464011472573313,0.0454965266420458
2023-01-10,5.1619475902110965,5.53388225138111,7.654919385212322,0.8769030384157251,0.26081446555648613,0.04621177038582906
2023-01-11,13.936577410926002,10.11644682152527,17.798512586549904,0.8205646526021495,0.21261101105382946,0.04873096574275546
2023-01-12,20.227798628837757,9.838491600583636,20.95584293411762,0.9223564596828066,0.28251174518244954,0.04089203727790643
2023-01-13,19.037731492232137,9.386129902001876,19.55490783799296,1.034999916656191,0.26604883154406517,0.027727109128384293
2023-01-14,13.238271792710657,8.803184947285164,14.599289612575976,0.9759535444968415,0.24039702516558986,0.025472480872887785
2023-01-15,7.795809470751508,7.6299512959389695,10.895274993867945,0.9602377421211808,0.22086495179492727,0.026864645081133783
2023-01-16,4.311860197378661,6.542927514715623,9.16984758842905,0.9521354332309864,0.20746585621230854,0.027776098912286367
2023-01-17,2.331730476114581,5.730395175344984,8.226204619856242,0.9470169584856282,0.1954290777586512,0.028637708957222476
2023-01-18,5.0163570450107855,5.797323593687664,7.619741888948723,0.9065295076948747,0.1899371121147793,0.027768275249002435
2023-01-19,2.930359995798506,6.680422027581897,3.5260309313776377,0.8826814294503439,0.19115909940559436,0.030544608543039423
2023-01-20,0.8782814321822969,7.621864103767043,0.9512109510085619,0.871926601327792,0.18166170313873217,0.03542003131616676
2023-01-21,2.3713529226379273,5.624933811133662,3.701931094972447,0.8701347133248156,0.1981240900546424,0.03267430198805176
2023-01-22,0.48808961150619906,5.218609835584099,3.150591206960252,0.8661280764987059,0.18441295164759874,0.034194786587204144
2023-01-23,0.2801185814539369,4.695124861878277,2.730638497170428,0.8635600488301377,0.17642912449184336,0.035004998880654246
2023-01-24,0.21811139762948972,4.217619283542396,2.5622832741746704,0.8619496609544512,0.17055513409524273,0.03560808917664346
2023-01-25,0.828045897502769,5.792623908311249,0.8030718522648225,0.8587900981998107,0.16107576927757541,0.03991174100013555
2023-01-26,-1.5466089154576879,7.39833179036477,-2.553008512114546,0.8731952094843106,0.17151582015858488,0.03930287865892338
2023-01-27,-0.34543220428113686,7.205646145350058,-0.6812998575637983,0.9045137526850923,0.19180590711763357,0.0375137302449764
2023-01-28,0.6474768587825486,6.686857764772993,0.5423520503650333,0.9099975007560928,0.19012670677018778,0.038174736087435567
2023-01-29,-0.10267034881750828,6.120947008129118,0.7876824674213387,0.9046663127709802,0.1764696371594275,0.03956356532657587
2023-01-30,0.011200432422824081,5.349048095698893,1.0210602306213126,0.9019078378853297,0.16965082000656573,0.040124987375436065
